,leiden_labels,desc_labels,ctec_ob_labels
1505,5,3,13
1506,5,3,13
1507,5,3,13
1508,5,3,13
1509,5,3,13
1510,5,3,13
1511,5,3,13
1512,5,3,13
1513,5,3,13
1514,5,3,13
1515,5,3,13
1516,5,3,13
1517,5,3,13
1518,5,3,13
1519,5,3,13
1520,5,3,13
1521,5,3,13
1522,1,1,0
1523,5,3,13
1524,5,3,13
1525,1,3,0
1526,5,3,13
1527,5,3,13
1528,16,3,13
1529,5,3,13
1530,5,3,13
1531,5,3,13
1532,5,3,13
1533,5,3,13
1534,5,3,13
1535,5,3,13
1536,5,3,13
1537,5,3,13
1538,5,3,13
1539,1,3,0
1540,5,3,13
1541,5,3,13
1542,5,3,13
1543,5,3,13
1544,5,3,13
1545,5,3,13
1546,2,3,10
1547,5,3,13
1548,5,3,13
1549,5,3,13
1550,5,3,13
1551,5,3,13
1552,5,3,13
1553,5,3,13
1554,5,3,13
1555,5,3,13
1556,4,3,12
1557,5,3,13
1558,5,3,13
1559,5,3,13
1560,12,12,4
1561,12,12,4
1562,12,12,4
1563,12,12,4
1564,12,12,4
1565,12,12,4
1566,12,12,4
1567,12,12,4
1568,12,12,4
1569,12,12,4
1570,12,12,4
1571,12,12,4
1572,12,12,4
1573,12,12,4
1574,12,12,4
1575,12,12,4
1576,12,12,4
1577,12,12,4
1578,12,12,4
1579,12,12,4
1580,12,12,4
1581,12,12,4
1582,12,12,4
1583,12,12,4
1584,12,12,4
1585,12,12,4
1586,12,12,4
1587,12,12,4
1588,12,12,4
1589,12,12,4
1590,12,12,4
1591,12,12,4
1592,12,12,4
1593,12,12,4
1594,12,12,4
1595,12,12,4
1596,12,12,4
1597,12,12,4
1598,12,12,4
1599,12,12,4
1600,12,12,4
1601,7,6,15
1602,7,6,15
1603,7,6,15
1604,7,6,15
1605,7,6,15
1606,7,6,15
1607,7,6,15
1608,7,6,15
1609,7,6,15
1610,7,6,15
1611,7,6,15
1612,7,6,15
1613,3,4,11
1614,7,6,15
1615,7,6,15
1616,7,6,15
1617,7,6,15
1618,7,6,15
1619,7,6,15
1620,7,6,15
1621,7,6,15
1622,7,6,15
1623,7,6,15
1624,7,6,15
1625,7,6,15
1626,7,6,15
1627,7,6,15
1628,7,6,15
1629,7,6,15
1630,7,6,15
1631,7,6,15
1632,7,6,15
1633,7,6,15
1634,7,6,15
1635,7,6,15
1636,7,6,15
1637,7,6,15
1638,7,6,15
1639,10,6,2
1640,7,6,15
1641,7,6,15
1642,7,6,15
1643,7,6,15
1644,7,6,15
1645,7,6,15
